очи,сфч, RGB, HEX,ъйаеш
1005-R10B,NCS,,#f1d3d7,
1005-R20B,NCS,,#f1d5db,
1005-R30B,NCS,,#f1d7e0,
1005-R40B,NCS,,#f1dae6,
1005-R50B,NCS,,#f1deed,
1005-R60B,NCS,,#eadcf1,
1005-R70B,NCS,,#e3dcf1,
1005-R80B,NCS,,#d5daf1,
1005-R90B,NCS,,#d7e0f1,
1005-Y,NCS,,#f1eede,
1005-Y10R,NCS,,#f1ecdd,
1005-Y20R,NCS,,#f1eadc,
1005-Y30R,NCS,,#f1e8db,
1005-Y40R,NCS,,#f1e6da,
1005-Y50R,NCS,,#f1e3d9,
1005-Y60R,NCS,,#f1e0d8,
1005-Y70R,NCS,,#f1ddd6,
1005-Y80R,NCS,,#f1d9d4,
1005-Y90R,NCS,,#f1d6d4,
1010-B,NCS,,#c8e2f1,
1010-B10G,NCS,,#cae7f1,
1010-B30G,NCS,,#cdeef1,
1010-B50G,NCS,,#cef1f0,
1010-B70G,NCS,,#ccf1ec,
1010-B90G,NCS,,#c6f1de,
1010-G,NCS,,#c2f1d5,
1010-G10Y,NCS,,#cff1d1,
1010-G20Y,NCS,,#d8f1cd,
1010-G30Y,NCS,,#def1cb,
1010-G40Y,NCS,,#e4f1c9,
1010-G50Y,NCS,,#e8f1cb,
1010-G60Y,NCS,,#ecf1cc,
1010-G70Y,NCS,,#eff1ce,
1010-G80Y,NCS,,#f1f0ce,
1010-G90Y,NCS,,#f1eecd,
1010-R,NCS,,#f1b8bb,
1010-R10B,NCS,,#f1bac0,
1010-R20B,NCS,,#f1bdc7,
1010-R30B,NCS,,#f1c0d0,
1010-R40B,NCS,,#f1c5db,
1010-R50B,NCS,,#f1ccea,
1010-R60B,NCS,,#e4c9f1,
1010-R70B,NCS,,#d7c8f1,
1010-R80B,NCS,,#bcc6f1,
1010-R90B,NCS,,#c1d1f1,
1010-Y,NCS,,#f1eccc,
1010-Y10R,NCS,,#f1e8cb,
1010-Y20R,NCS,,#f1e4c9,
1010-Y30R,NCS,,#f1e0c7,
1010-Y40R,NCS,,#f1dcc5,
1010-Y50R,NCS,,#f1d7c3,
1010-Y60R,NCS,,#f1d1c1,
1010-Y70R,NCS,,#f1cbbe,
1010-Y80R,NCS,,#f1c5bc,
1010-Y90R,NCS,,#f1bebb,
1015-B,NCS,,#b6dbf1,
1015-B20G,NCS,,#bbe8f1,
1015-B50G,NCS,,#bef1ef,
1015-B80G,NCS,,#baf1e5,
1015-G,NCS,,#aef1c8,
1015-G20Y,NCS,,#cdf1be,
1015-G40Y,NCS,,#def1b7,
1015-G60Y,NCS,,#eaf1bc,
1015-G80Y,NCS,,#f1f0be,
1015-G90Y,NCS,,#f1ecbd,
1015-R,NCS,,#f1a1a6,
1015-R10B,NCS,,#f1a4ad,
1015-R20B,NCS,,#f1a7b6,
1015-R40B,NCS,,#f1b2d2,
1015-R60B,NCS,,#dfb7f1,
1015-R80B,NCS,,#a6b4f1,
1015-R90B,NCS,,#acc3f1,
1015-Y,NCS,,#f1e9bb,
1015-Y10R,NCS,,#f1e4b9,
1015-Y20R,NCS,,#f1dfb7,
1015-Y30R,NCS,,#f1d9b5,
1015-Y40R,NCS,,#f1d2b2,
1015-Y50R,NCS,,#f1cbb0,
1015-Y60R,NCS,,#f1c4ad,
1015-Y70R,NCS,,#f1bca9,
1015-Y80R,NCS,,#f1b3a6,
1015-Y90R,NCS,,#f1aaa5,
1020-B,NCS,,#a5d5f1,
1020-B10G,NCS,,#a8dff1,
1020-B30G,NCS,,#adebf1,
1020-B40G,NCS,,#afeff1,
1020-B50G,NCS,,#aef1ef,
1020-B60G,NCS,,#adf1eb,
1020-B70G,NCS,,#abf1e7,
1020-B90G,NCS,,#a2f1ce,
1020-G,NCS,,#9cf1bd,
1020-G10Y,NCS,,#b3f1b5,
1020-G20Y,NCS,,#c2f1af,
1020-G30Y,NCS,,#cef1aa,
1020-G40Y,NCS,,#d8f1a6,
1020-G50Y,NCS,,#e1f1a9,
1020-G60Y,NCS,,#e7f1ac,
1020-G70Y,NCS,,#eef1ae,
1020-G80Y,NCS,,#f1efae,
1020-G90Y,NCS,,#f1eaad,
1020-R,NCS,,#f18d94,
1020-R10B,NCS,,#f1909c,
1020-R20B,NCS,,#f194a7,
1020-R30B,NCS,,#f19ab5,
1020-R40B,NCS,,#f1a1c9,
1020-R50B,NCS,,#f1aae4,
1020-R60B,NCS,,#d9a7f1,
1020-R70B,NCS,,#c1a7f1,
1020-R80B,NCS,,#93a5f1,
1020-R90B,NCS,,#9ab7f1,
1020-Y,NCS,,#f1e7ab,
1020-Y10R,NCS,,#f1e0a9,
1020-Y20R,NCS,,#f1d9a7,
1020-Y30R,NCS,,#f1d2a4,
1020-Y40R,NCS,,#f1caa1,
1020-Y50R,NCS,,#f1c19e,
1020-Y60R,NCS,,#f1b89a,
1020-Y70R,NCS,,#f1ae97,
1020-Y80R,NCS,,#f1a393,
1020-Y90R,NCS,,#f19892,
1030-B,NCS,,#86c9f1,
1030-B10G,NCS,,#8bd7f1,
1030-B30G,NCS,,#90e8f1,
1030-B40G,NCS,,#92eef1,
1030-B50G,NCS,,#92f1ee,
1030-B60G,NCS,,#90f1e8,
1030-B70G,NCS,,#8ef1e2,
1030-B90G,NCS,,#84f1c0,
1030-G,NCS,,#7df1aa,
1030-G10Y,NCS,,#9bf19f,
1030-G20Y,NCS,,#b0f195,
1030-G30Y,NCS,,#c1f18e,
1030-G40Y,NCS,,#cef188,
1030-G50Y,NCS,,#daf18b,
1030-G60Y,NCS,,#e3f18e,
1030-G70Y,NCS,,#ecf191,
1030-G80Y,NCS,,#f1ee92,
1030-G90Y,NCS,,#f1e890,
1030-R,NCS,,#f16d76,
1030-R10B,NCS,,#f17080,
1030-R20B,NCS,,#f1748d,
1030-R30B,NCS,,#f17aa0,
1030-R40B,NCS,,#f182b9,
1030-R50B,NCS,,#f18dde,
1030-R60B,NCS,,#d088f1,
1030-R70B,NCS,,#ae8af1,
1030-R80B,NCS,,#738bf1,
1030-R90B,NCS,,#7aa1f1,
1030-Y,NCS,,#f1e28e,
1030-Y10R,NCS,,#f1d98b,
1030-Y20R,NCS,,#f1d088,
1030-Y30R,NCS,,#f1c585,
1030-Y40R,NCS,,#f1bb82,
1030-Y50R,NCS,,#f1af7f,
1030-Y60R,NCS,,#f1a37b,
1030-Y70R,NCS,,#f19677,
1030-Y80R,NCS,,#f18973,
1030-Y90R,NCS,,#f17b73,
1040-B,NCS,,#6cbff1,
1040-B10G,NCS,,#70d0f1,
1040-B20G,NCS,,#73dcf1,
1040-B30G,NCS,,#75e5f1,
1040-B40G,NCS,,#77eef1,
1040-B50G,NCS,,#77f1ed,
1040-B60G,NCS,,#75f1e6,
1040-B70G,NCS,,#74f1de,
1040-B80G,NCS,,#71f1d5,
1040-B90G,NCS,,#69f1b4,
1040-G,NCS,,#63f19a,
1040-G10Y,NCS,,#86f18b,
1040-G20Y,NCS,,#a0f17f,
1040-G30Y,NCS,,#b5f175,
1040-G40Y,NCS,,#c5f16e,
1040-G50Y,NCS,,#d4f171,
1040-G60Y,NCS,,#dff174,
1040-G70Y,NCS,,#ebf177,
1040-G80Y,NCS,,#f1ed77,
1040-G90Y,NCS,,#f1e575,
1040-R,NCS,,#f1535e,
1040-R10B,NCS,,#f15669,
1040-R20B,NCS,,#f15a79,
1040-R30B,NCS,,#f1608e,
1040-R40B,NCS,,#f167ac,
1040-R50B,NCS,,#f172d9,
1040-R60B,NCS,,#c76ef1,
1040-R70B,NCS,,#9e72f1,
1040-R80B,NCS,,#5975f1,
1040-R90B,NCS,,#6090f1,
1040-Y,NCS,,#f1de74,
1040-Y10R,NCS,,#f1d371,
1040-Y20R,NCS,,#f1c76e,
1040-Y30R,NCS,,#f1bb6b,
1040-Y40R,NCS,,#f1ae67,
1040-Y50R,NCS,,#f1a064,
1040-Y60R,NCS,,#f19260,
1040-Y70R,NCS,,#f1835d,
1040-Y80R,NCS,,#f17359,
1040-Y90R,NCS,,#f1645a,
1050-B,NCS,,#54b6f1,
1050-B10G,NCS,,#58caf1,
1050-B20G,NCS,,#5bd8f1,
1050-B30G,NCS,,#5de3f1,
1050-B40G,NCS,,#5fedf1,
1050-B50G,NCS,,#5ff1ec,
1050-B60G,NCS,,#5df1e3,
1050-B70G,NCS,,#5cf1db,
1050-B80G,NCS,,#59f1cf,
1050-B90G,NCS,,#52f1aa,
1050-G,NCS,,#4cf18c,
1050-G10Y,NCS,,#75f17a,
1050-G20Y,NCS,,#92f16b,
1050-G30Y,NCS,,#aaf160,
1050-G40Y,NCS,,#bdf156,
1050-G50Y,NCS,,#cef159,
1050-G60Y,NCS,,#dcf15c,
1050-G70Y,NCS,,#eaf15f,
1050-G80Y,NCS,,#f1ed5f,
1050-G90Y,NCS,,#f1e35d,
1050-R,NCS,,#f13f4a,
1050-R10B,NCS,,#f14157,
1050-R20B,NCS,,#f14567,
1050-R30B,NCS,,#f1497f,
1050-R40B,NCS,,#f150a1,
1050-R90B,NCS,,#4a81f1,
1050-Y,NCS,,#f1db5c,
1050-Y10R,NCS,,#f1cd59,
1050-Y20R,NCS,,#f1c056,
1050-Y30R,NCS,,#f1b153,
1050-Y40R,NCS,,#f1a250,
1050-Y50R,NCS,,#f1934d,
1050-Y60R,NCS,,#f1834a,
1050-Y70R,NCS,,#f17247,
1050-Y80R,NCS,,#f16143,
1050-Y90R,NCS,,#f15045,
1055-B90G,NCS,,#47f1a5,
1060-B,NCS,,#40aff1,
1060-G,NCS,,#39f180,
1060-G10Y,NCS,,#65f16b,
1060-G20Y,NCS,,#86f15a,
1060-G30Y,NCS,,#a0f14c,
1060-G40Y,NCS,,#b6f141,
1060-G50Y,NCS,,#c9f144,
1060-G60Y,NCS,,#d9f146,
1060-G70Y,NCS,,#e9f149,
1060-G80Y,NCS,,#f1ec49,
1060-G90Y,NCS,,#f1e147,
1060-R,NCS,,#f12e3a,
1060-R10B,NCS,,#f13047,
1060-R20B,NCS,,#f13259,
1060-R30B,NCS,,#f13672,
1060-Y,NCS,,#f1d746,
1060-Y10R,NCS,,#f1c844,
1060-Y20R,NCS,,#f1b941,
1060-Y30R,NCS,,#f1a93f,
1060-Y40R,NCS,,#f1983c,
1060-Y50R,NCS,,#f1883a,
1060-Y60R,NCS,,#f17637,
1060-Y70R,NCS,,#f16534,
1060-Y80R,NCS,,#f15331,
1060-Y90R,NCS,,#f14134,
1070-G10Y,NCS,,#57f15e,
1070-G20Y,NCS,,#7bf14b,
1070-G30Y,NCS,,#98f13b,
1070-G40Y,NCS,,#b0f12e,
1070-G50Y,NCS,,#c5f130,
1070-G60Y,NCS,,#d6f132,
1070-G70Y,NCS,,#e8f134,
1070-G80Y,NCS,,#f1eb35,
1070-G90Y,NCS,,#f1df33,
1070-R,NCS,,#f11f2d,
1070-R10B,NCS,,#f1213a,
1070-R20B,NCS,,#f1234c,
1070-Y,NCS,,#f1d432,
1070-Y10R,NCS,,#f1c430,
1070-Y20R,NCS,,#f1b32e,
1070-Y30R,NCS,,#f1a12c,
1070-Y40R,NCS,,#f1902a,
1070-Y50R,NCS,,#f17e28,
1070-Y60R,NCS,,#f16b26,
1070-Y70R,NCS,,#f15924,
1070-Y80R,NCS,,#f14622,
1070-Y90R,NCS,,#f13326,
1075-G20Y,NCS,,#76f144,
1075-G40Y,NCS,,#adf126,
1075-G50Y,NCS,,#c3f127,
1075-G60Y,NCS,,#d5f129,
1075-G70Y,NCS,,#e7f12b,
1075-G80Y,NCS,,#f1eb2b,
1075-G90Y,NCS,,#f1de2a,
1080-G30Y,NCS,,#91f12c,
1080-R,NCS,,#f11322,
1080-Y,NCS,,#f1d220,
1080-Y10R,NCS,,#f1c01e,
1080-Y20R,NCS,,#f1ad1d,
1080-Y30R,NCS,,#f19b1c,
1080-Y40R,NCS,,#f1881b,
1080-Y50R,NCS,,#f17519,
1080-Y60R,NCS,,#f16218,
1080-Y70R,NCS,,#f14e16,
1080-Y80R,NCS,,#f13b15,
1080-Y90R,NCS,,#f1281a,
1085-Y80R,NCS,,#f1360f,
1085-Y90R,NCS,,#f12214,
1500-N,NCS,,#d8d8d8,
1502-B,NCS,,#dbe1e4,
1502-B50G,NCS,,#dde4e3,
1502-G,NCS,,#dae4de,
1502-G50Y,NCS,,#e2e4dc,
1502-R,NCS,,#e4d7d8,
1502-R50B,NCS,,#e4dce2,
1502-Y,NCS,,#e4e3dc,
1502-Y50R,NCS,,#e4deda,
1505-G80Y,NCS,,#e4e3d3,
1505-G90Y,NCS,,#e4e2d2,
1505-Y,NCS,,#e4e1d2,
1505-Y10R,NCS,,#e4dfd1,
1505-Y20R,NCS,,#e4ddd0,
1505-Y30R,NCS,,#e4dbcf,
1505-Y40R,NCS,,#e4d9ce,
1505-Y50R,NCS,,#e4d7cd,
1505-Y60R,NCS,,#e4d4cc,
1505-Y70R,NCS,,#e4d1ca,
1505-Y80R,NCS,,#e4cdc9,
1505-Y90R,NCS,,#e4cac8,
1510-B,NCS,,#bdd5e4,
1510-B20G,NCS,,#c1dee4,
1510-B50G,NCS,,#c3e4e3,
1510-B80G,NCS,,#c0e4dc,
1510-G,NCS,,#b8e4c9,
1510-G20Y,NCS,,#cce4c2,
1510-G40Y,NCS,,#d7e4be,
1510-G60Y,NCS,,#dfe4c1,
1510-G80Y,NCS,,#e4e3c3,
1510-G90Y,NCS,,#e4e0c2,
1510-R,NCS,,#e4adb1,
1510-R10B,NCS,,#e4afb6,
1510-R20B,NCS,,#e4b2bc,
1510-R40B,NCS,,#e4bacf,
1510-R60B,NCS,,#d8bee4,
1510-R80B,NCS,,#b2bbe4,
1510-R90B,NCS,,#b6c5e4,
1510-Y,NCS,,#e4dec1,
1510-Y10R,NCS,,#e4dbbf,
1510-Y20R,NCS,,#e4d8be,
1510-Y30R,NCS,,#e4d4bc,
1510-Y40R,NCS,,#e4d0ba,
1510-Y50R,NCS,,#e4cbb8,
1510-Y60R,NCS,,#e4c6b6,
1510-Y70R,NCS,,#e4c0b4,
1510-Y80R,NCS,,#e4bab1,
1510-Y90R,NCS,,#e4b4b1,
1515-B,NCS,,#accfe4,
1515-B20G,NCS,,#b1dbe4,
1515-B50G,NCS,,#b3e4e2,
1515-B80G,NCS,,#afe4d8,
1515-G,NCS,,#a5e4bd,
1515-G20Y,NCS,,#c1e4b3,
1515-G40Y,NCS,,#d1e4ad,
1515-G60Y,NCS,,#dde4b1,
1515-G80Y,NCS,,#e4e2b3,
1515-G90Y,NCS,,#e4dfb2,
1515-R,NCS,,#e4989d,
1515-R10B,NCS,,#e49ba3,
1515-R20B,NCS,,#e49eac,
1515-R40B,NCS,,#e4a8c6,
1515-R60B,NCS,,#d2ade4,
1515-R80B,NCS,,#9daae4,
1515-R90B,NCS,,#a3b8e4,
1515-Y,NCS,,#e4dcb1,
1515-Y10R,NCS,,#e4d7af,
1515-Y20R,NCS,,#e4d2ad,
1515-Y30R,NCS,,#e4cdab,
1515-Y40R,NCS,,#e4c7a8,
1515-Y50R,NCS,,#e4c0a6,
1515-Y60R,NCS,,#e4b9a3,
1515-Y70R,NCS,,#e4b1a0,
1515-Y80R,NCS,,#e4a99d,
1515-Y90R,NCS,,#e4a19c,
1550-R70B,NCS,,#8857e4,
1550-R80B,NCS,,#405ee4,
1555-B10G,NCS,,#49bce4,
1555-R70B,NCS,,#824ee4,
1555-R80B,NCS,,#3757e4,
1560-R90B,NCS,,#346ee4,
1565-B,NCS,,#33a1e4,
1565-G,NCS,,#2de474,
1575-R10B,NCS,,#e41931,
1580-R,NCS,,#e41220,
1580-Y80R,NCS,,#e43814,
1580-Y90R,NCS,,#e42518,
2000-N,NCS,,#cccccc,
2002-B,NCS,,#cfd3d6,
2002-B50G,NCS,,#d0d6d6,
2002-G,NCS,,#cdd6d1,
2002-G50Y,NCS,,#d5d6cf,
2002-R,NCS,,#d6cbcb,
2002-R50B,NCS,,#d6cfd5,
2002-Y,NCS,,#d6d5cf,
2002-Y50R,NCS,,#d6d1cd,
2005-B,NCS,,#c3cfd6,
2005-B20G,NCS,,#c5d3d6,
2005-B50G,NCS,,#c6d6d6,
2005-B80G,NCS,,#c5d6d2,
2005-G,NCS,,#c0d6c9,
2005-G10Y,NCS,,#c6d6c7,
2005-G20Y,NCS,,#cbd6c6,
2005-G30Y,NCS,,#ced6c5,
2005-G40Y,NCS,,#d0d6c4,
2005-G50Y,NCS,,#d2d6c5,
2005-G60Y,NCS,,#d4d6c6,
2005-G70Y,NCS,,#d6d6c6,
2005-G80Y,NCS,,#d6d6c6,
2005-G90Y,NCS,,#d6d5c6,
2005-R,NCS,,#d6bbbc,
2005-R10B,NCS,,#d6bcbf,
2005-R20B,NCS,,#d6bdc2,
2005-R30B,NCS,,#d6bfc7,
2005-R40B,NCS,,#d6c2cc,
2005-R50B,NCS,,#d6c5d3,
2005-R60B,NCS,,#d0c4d6,
2005-R70B,NCS,,#cac3d6,
2005-R80B,NCS,,#bdc2d6,
2005-R90B,NCS,,#c0c7d6,
2005-Y,NCS,,#d6d4c5,
2005-Y10R,NCS,,#d6d2c5,
2005-Y20R,NCS,,#d6d0c4,
2005-Y30R,NCS,,#d6cfc3,
2005-Y40R,NCS,,#d6ccc2,
2005-Y50R,NCS,,#d6cac1,
2005-Y60R,NCS,,#d6c7c0,
2005-Y70R,NCS,,#d6c4be,
2005-Y80R,NCS,,#d6c1bd,
2005-Y90R,NCS,,#d6bebc,
2010-B,NCS,,#b2c9d6,
2010-B10G,NCS,,#b4ced6,
2010-B30G,NCS,,#b6d3d6,
2010-B50G,NCS,,#b7d6d5,
2010-B70G,NCS,,#b6d6d1,
2010-B90G,NCS,,#b0d6c5,
2010-G,NCS,,#add6bd,
2010-G10Y,NCS,,#b8d6b9,
2010-G20Y,NCS,,#c0d6b7,
2010-G30Y,NCS,,#c6d6b4,
2010-G40Y,NCS,,#cad6b3,
2010-G50Y,NCS,,#ced6b4,
2010-G60Y,NCS,,#d2d6b6,
2010-G70Y,NCS,,#d5d6b7,
2010-G80Y,NCS,,#d6d5b7,
2010-G90Y,NCS,,#d6d3b6,
2010-R,NCS,,#d6a3a6,
2010-R10B,NCS,,#d6a5ab,
2010-R20B,NCS,,#d6a8b1,
2010-R30B,NCS,,#d6abb9,
2010-R40B,NCS,,#d6afc3,
2010-R50B,NCS,,#d6b5d0,
2010-R60B,NCS,,#cbb3d6,
2010-R70B,NCS,,#bfb2d6,
2010-R80B,NCS,,#a7b0d6,
2010-R90B,NCS,,#abb9d6,
2010-Y,NCS,,#d6d1b6,
2010-Y10R,NCS,,#d6ceb4,
2010-Y20R,NCS,,#d6cbb3,
2010-Y30R,NCS,,#d6c7b1,
2010-Y40R,NCS,,#d6c3af,
2010-Y50R,NCS,,#d6bfae,
2010-Y60R,NCS,,#d6baac,
2010-Y70R,NCS,,#d6b5a9,
2010-Y80R,NCS,,#d6afa7,
2010-Y90R,NCS,,#d6a9a6,
2020-B,NCS,,#92bdd6,
2020-B10G,NCS,,#96c6d6,
2020-B30G,NCS,,#9ad1d6,
2020-B40G,NCS,,#9bd5d6,
2020-B50G,NCS,,#9bd6d4,
2020-B60G,NCS,,#9ad6d1,
2020-B70G,NCS,,#98d6cd,
2020-B90G,NCS,,#90d6b7,
2020-G,NCS,,#8bd6a8,
2020-G10Y,NCS,,#9fd6a1,
2020-G20Y,NCS,,#add69c,
2020-G30Y,NCS,,#b7d697,
2020-G40Y,NCS,,#c0d694,
2020-G50Y,NCS,,#c8d696,
2020-G60Y,NCS,,#ced699,
2020-G70Y,NCS,,#d3d69b,
2020-G80Y,NCS,,#d6d49b,
2020-G90Y,NCS,,#d6d09a,
2020-R,NCS,,#d67e83,
2020-R10B,NCS,,#d6808b,
2020-R20B,NCS,,#d68494,
2020-R30B,NCS,,#d688a1,
2020-R40B,NCS,,#d68fb3,
2020-R50B,NCS,,#d697ca,
2020-R60B,NCS,,#c194d6,
2020-R70B,NCS,,#ab94d6,
2020-R80B,NCS,,#8392d6,
2020-R90B,NCS,,#89a2d6,
2020-Y,NCS,,#d6cd98,
2020-Y10R,NCS,,#d6c796,
2020-Y20R,NCS,,#d6c194,
2020-Y30R,NCS,,#d6bb92,
2020-Y40R,NCS,,#d6b38f,
2020-Y50R,NCS,,#d6ac8c,
2020-Y60R,NCS,,#d6a389,
2020-Y70R,NCS,,#d69b86,
2020-Y80R,NCS,,#d69183,
2020-Y90R,NCS,,#d68882,
2030-B,NCS,,#77b3d6,
2030-B10G,NCS,,#7bbfd6,
2030-B30G,NCS,,#80ced6,
2030-B40G,NCS,,#82d4d6,
2030-B50G,NCS,,#81d6d3,
2030-B60G,NCS,,#80d6ce,
2030-B70G,NCS,,#7ed6c9,
2030-B90G,NCS,,#75d6ab,
2030-G,NCS,,#6fd697,
2030-G10Y,NCS,,#8ad68d,
2030-G20Y,NCS,,#9cd685,
2030-G30Y,NCS,,#abd67e,
2030-G40Y,NCS,,#b7d679,
2030-G50Y,NCS,,#c2d67c,
2030-G60Y,NCS,,#cad67f,
2030-G70Y,NCS,,#d2d681,
2030-G80Y,NCS,,#d6d481,
2030-G90Y,NCS,,#d6ce80,
2030-R,NCS,,#d66168,
2030-R10B,NCS,,#d66471,
2030-R20B,NCS,,#d6677e,
2030-R30B,NCS,,#d66c8e,
2030-R40B,NCS,,#d673a5,
2030-R50B,NCS,,#d67dc5,
2030-R60B,NCS,,#b979d6,
2030-R70B,NCS,,#9b7bd6,
2030-R80B,NCS,,#677bd6,
2030-R90B,NCS,,#6d8fd6,
2030-Y,NCS,,#d6c97e,
2030-Y10R,NCS,,#d6c17c,
2030-Y20R,NCS,,#d6b979,
2030-Y30R,NCS,,#d6b076,
2030-Y40R,NCS,,#d6a674,
2030-Y50R,NCS,,#d69c70,
2030-Y60R,NCS,,#d6916d,
2030-Y70R,NCS,,#d6856a,
2030-Y80R,NCS,,#d67966,
2030-Y90R,NCS,,#d66d66,
2040-B,NCS,,#60aad6,
2040-B10G,NCS,,#64b9d6,
2040-B20G,NCS,,#66c4d6,
2040-B30G,NCS,,#68ccd6,
2040-B40G,NCS,,#6ad3d6,
2040-B50G,NCS,,#6ad6d3,
2040-B60G,NCS,,#68d6cc,
2040-B70G,NCS,,#67d6c6,
2040-B80G,NCS,,#65d6bd,
2040-B90G,NCS,,#5dd6a0,
2040-G,NCS,,#58d689,
2040-G10Y,NCS,,#77d67c,
2040-G20Y,NCS,,#8ed671,
2040-G30Y,NCS,,#a0d668,
2040-G40Y,NCS,,#afd661,
2040-G50Y,NCS,,#bcd664,
2040-G60Y,NCS,,#c7d667,
2040-G70Y,NCS,,#d1d66a,
2040-G80Y,NCS,,#d6d36a,
2040-G90Y,NCS,,#d6cc68,
2040-R,NCS,,#d64a53,
2040-R10B,NCS,,#d64d5d,
2040-R20B,NCS,,#d6506b,
2040-R30B,NCS,,#d6557e,
2040-R40B,NCS,,#d65c99,
2040-R50B,NCS,,#d666c1,
2040-R60B,NCS,,#b162d6,
2040-R70B,NCS,,#8d65d6,
2040-R80B,NCS,,#4f68d6,
2040-R90B,NCS,,#5580d6,
2040-Y,NCS,,#d6c667,
2040-Y10R,NCS,,#d6bc64,
2040-Y20R,NCS,,#d6b162,
2040-Y30R,NCS,,#d6a65f,
2040-Y40R,NCS,,#d69a5c,
2040-Y50R,NCS,,#d68e59,
2040-Y60R,NCS,,#d68156,
2040-Y70R,NCS,,#d67452,
2040-Y80R,NCS,,#d6664f,
2040-Y90R,NCS,,#d65950,
2050-B,NCS,,#4ba2d6,
2050-B10G,NCS,,#4fb4d6,
2050-B20G,NCS,,#51c0d6,
2050-B30G,NCS,,#53cad6,
2050-B40G,NCS,,#55d3d6,
2050-B50G,NCS,,#55d6d2,
2050-B60G,NCS,,#53d6ca,
2050-B70G,NCS,,#51d6c3,
2050-B80G,NCS,,#4fd6b8,
2050-B90G,NCS,,#49d697,
2050-G,NCS,,#44d67d,
2050-G10Y,NCS,,#68d66c,
2050-G20Y,NCS,,#82d660,
2050-G30Y,NCS,,#97d655,
2050-G40Y,NCS,,#a8d64d,
2050-G50Y,NCS,,#b7d64f,
2050-G60Y,NCS,,#c4d652,
2050-G70Y,NCS,,#d0d654,
2050-G80Y,NCS,,#d6d255,
2050-G90Y,NCS,,#d6ca53,
2050-R,NCS,,#d63842,
2050-R10B,NCS,,#d63a4d,
2050-R20B,NCS,,#d63d5c,
2050-R30B,NCS,,#d64171,
2050-R40B,NCS,,#d6478f,
2050-R50B,NCS,,#d650bd,
2050-R60B,NCS,,#aa4dd6,
2050-R70B,NCS,,#8052d6,
2050-R80B,NCS,,#3c59d6,
2050-R90B,NCS,,#4172d6,
2050-Y,NCS,,#d6c251,
2050-Y10R,NCS,,#d6b74f,
2050-Y20R,NCS,,#d6aa4d,
2050-Y30R,NCS,,#d69e4a,
2050-Y40R,NCS,,#d69047,
2050-Y50R,NCS,,#d68345,
2050-Y60R,NCS,,#d67442,
2050-Y70R,NCS,,#d6663f,
2050-Y80R,NCS,,#d6573c,
2050-Y90R,NCS,,#d6483e,
2055-B10G,NCS,,#45b1d6,
2060-B,NCS,,#399bd6,
2060-B50G,NCS,,#41d6d1,
2060-B70G,NCS,,#3ed6c0,
2060-B90G,NCS,,#37d68f,
2060-G,NCS,,#32d672,
2060-G10Y,NCS,,#5ad65f,
2060-G20Y,NCS,,#77d650,
2060-G30Y,NCS,,#8fd644,
2060-G40Y,NCS,,#a2d63a,
2060-G50Y,NCS,,#b3d63c,
2060-G60Y,NCS,,#c1d63e,
2060-G70Y,NCS,,#cfd640,
2060-G80Y,NCS,,#d6d241,
2060-G90Y,NCS,,#d6c83f,
2060-R,NCS,,#d62934,
2060-R10B,NCS,,#d62a3f,
2060-R20B,NCS,,#d62d4f,
2060-R30B,NCS,,#d63065,
2060-R40B,NCS,,#d63586,
2060-R70B,NCS,,#7642d6,
2060-R80B,NCS,,#2c4cd6,
2060-R90B,NCS,,#3067d6,
2060-Y,NCS,,#d6c03e,
2060-Y10R,NCS,,#d6b23c,
2060-Y20R,NCS,,#d6a43a,
2060-Y30R,NCS,,#d69638,
2060-Y40R,NCS,,#d68835,
2060-Y50R,NCS,,#d67933,
2060-Y60R,NCS,,#d66931,
2060-Y70R,NCS,,#d6592e,
2060-Y80R,NCS,,#d6492c,
2060-Y90R,NCS,,#d6392f,
2065-B,NCS,,#3098d6,
2065-R20B,NCS,,#d62649,
2065-R90B,NCS,,#2962d6,
2070-G10Y,NCS,,#4ed654,
2070-G20Y,NCS,,#6ed643,
2070-G30Y,NCS,,#87d635,
2070-G40Y,NCS,,#9dd629,
2070-G50Y,NCS,,#afd62b,
2070-G60Y,NCS,,#bed62d,
2070-G70Y,NCS,,#ced62e,
2070-G80Y,NCS,,#d6d12f,
2070-G90Y,NCS,,#d6c62d,
2070-R,NCS,,#d61c28,
2070-R10B,NCS,,#d61d34,
2070-Y,NCS,,#d6bd2c,
2070-Y10R,NCS,,#d6ae2b,
2070-Y20R,NCS,,#d69f29,
2070-Y30R,NCS,,#d68f27,
2070-Y40R,NCS,,#d68026,
2070-Y50R,NCS,,#d67024,
2070-Y60R,NCS,,#d65f22,
2070-Y70R,NCS,,#d64f20,
2070-Y80R,NCS,,#d63e1e,
2070-Y90R,NCS,,#d62d22,
2075-G20Y,NCS,,#69d63c,
2075-G30Y,NCS,,#84d62e,
2075-Y60R,NCS,,#d65b1b,
2075-Y70R,NCS,,#d64a1a,
2500-N,NCS,,#bfbfbf,
2502-B,NCS,,#c2c6c9,
2502-G,NCS,,#c0c9c4,
2502-R,NCS,,#c9bebf,
2502-Y,NCS,,#c9c8c2,
2555-B20G,NCS,,#43b3c9,
2555-B30G,NCS,,#44bcc9,
2555-B40G,NCS,,#46c5c9,
2555-B60G,NCS,,#44c9bd,
